bear bore born
beat beat beaten
become became become
begin began begun
bind bound bound
bleed bled bled
blow blew blown
break broke broken
bring brought brought
build built built
burn burned burnt
buy bought bought
can could could
catch caught caught
choose chose chosen
come came come
cost cost cost
cut cut cut
do did done
draw drew drawn
drink drank drunk
drive drove driven
eat ate eaten
fall fell fallen
feed fed fed
feel felt felt
fight fought fought
find found found
fly flew flown
forbid forbad forbidden
forget forgot forgotten
forgive	forgave	forgiven
freeze froze frozen
get got	got
give gave given
go went gone
grow grew grown
hang hung hung
have had had
hear heard heard
hide hid hidden
hit hit hit
hold held held
hurt hurt hurt
keep kept kept
know knew known
lay laid laid
lead led led
leave left left
lend lent lent
let let let
lie lay lain
lose lost lost
make made made
may might might
mean meant meant
meet met met
mistake mistook mistaken
overlay overlaid overlaid
pay paid paid
prove proved proved
put put	put
read read read
ride rode ridden
ring rang rung
rise rose risen
run ran run
say said said
see saw	seen
sell sold sold
send sent sent
set set	set
shake shook shaken
shave shaved shaved
shine shone shone
shoot shot shot
show showed shown
shut shut shut
sing sang sung
sink sank sunk
sit sat	sat
sleep slept slept
smell smelt smelt
speak spoke spoken
speed sped sped
spend spent spent
spoil spoilt spoiled
spread spread spread
stand stood stood
steal stole stolen
strike struck struck
swear swore sworn
sweep swept swept
swim swam swum
take took taken
teach taught taught
tell told told
think thought thought
throw threw thrown
undergo	underwent undergone
understand understood understood
undo undid undone
upset upset upset
wake woke woken
wear wore worn
wet wetted wetted
win won won
withdraw withdrew withdrawn
write wrote written
